Напиток,Вариант,Фото,Страница источника,Название у источника
Martini Fiero,,9ceb9c90-6d5d-4ca7-94e5-7af4d3930568.jpg,https://newelitalco.kz/ru/catalog/martini-fiero_7667,"Вермут Martini Fiero 15% (0,75L)"
Martini Riserva Bitter,,1d7fe460-bcfe-4919-b125-713153aa6979.jpg,https://newelitalco.kz/ru/catalog/martini-riserva-speciale-bitter-285-07l_71,"Биттер Martini Riserva Bitter 28,5% (0,7L)"
Junmai Daiginjo Sakari,,e6dc7a02-6ba6-4b29-a6a2-a8bd57b52b3c.png,https://sakarisake.com/,Sakari
"Pedro Ximenez, Delgado Zuleta (Sweet)",,c117c1b8-3aeb-4537-b38e-cec427b3f699.jpg,https://www.hellospain.de/sherry-wein/677-delgado-zuleta-pedro-ximenez-px-75-cl.html,Delgado Zuleta Pedro Ximenez PX 75 cl
Glenmorangie Lasanta 15 Years,,59a63b28-1564-4941-972f-55e7fd5cdea7.jpg,https://newelitalco.kz/ru/catalog/glenmorangie-the-lasanta-15-yo-43-in-box-07l_6,"Виски Glenmorangie The Lasanta 15 YO 43% in Box (0,7L)"
Glenmorangie Extremely Rare 18 Years,,ffaacd2f-e6b1-49d1-975c-62348a593ccd.jpg,https://londonliquorstore.com/products/glenmorangie-18-year-old-single-malt-whisky-old-70cl,Glenmorangie Extremely Rare 18 Years
Tomatin 12 Years,,7cf14608-4ad4-4c0e-a106-b24a23006809.jpg,https://newelitalco.kz/ru/catalog/tomatin-12-yo-single-malt-43-in-box-07l_11,"Виски Tomatin 12 YO Single Malt 43% in Box (0,7L)"
Matusalem Gran Reserva 15,,8f1b659e-20da-4526-b2c4-8d826f7c5e78.jpg,https://newelitalco.kz/ru/catalog/matusalem-15-yo-40-in-box-07l_76,"Ром Matusalem 15 YO 40% in Box (0,7L)"
Zacapa Centenario XO,,da2158c4-e239-450c-b0f8-c03c28a5fd62.jpg,https://alcomag.kz/catalog/strong-alcohol/rum/zacapa-centenario-solera-grand-special-reserve-xo,Zacapa Centenario Solera Grand Special Reserve XO
Grey Goose,,5d01a506-2f48-4523-98b0-26e9d297f9ea.jpg,https://newelitalco.kz/ru/catalog/grey-goose-40-05l_68,"Водка Grey Goose 40% (0,5L)"
Sobolnaya,,82866f04-e083-47b2-86a9-1b3e7f530d56.jpg,https://newelitalco.kz/ru/catalog/sobolinaya-40-05l_34,"Водка Sobolinaya 40% (0,5L)"
Montelobos Espadín (мескаль),,0947fd8e-5792-4a31-9c56-46c12d843514.jpg,https://newelitalco.kz/ru/catalog/montelobos-espadin-oaxaca-432-07l_82,"Мескаль Montelobos Espadin Oaxaca 43,2% (0,7L)"
Patrón Reposado,,9224b779-0f75-4d16-870f-b4adab1c0640.jpg,https://alcomag.kz/catalog/strong-alcohol/tequila/patron-reposado,Patron Reposado
Citadelle Original,,af98d69b-a00b-4262-ba2d-85967d13bcdc.png,https://citadellegin.com/en/,"Citadelle , the world’s first craft gin!"
Asahi Super Dry,,e633f1ef-7a65-40ad-8709-9f597b230616.jpg,https://newelitalco.kz/ru/catalog/asahi-super-dry-52-glass-033l_34,"Пиво Asahi Super Dry 5% Glass (0,33L)"
327 XO,,60397728-1fb6-48d0-a45e-3102da4cd018.jpg,https://newelitalco.kz/ru/catalog/327-xo-40-07l_90,"Ром 327 XO 40% (0,7L)"
Belvedere Pure,,6d693ba5-966b-41c7-8f0f-d5de2367f203.jpg,https://newelitalco.kz/ru/catalog/belvedere-40-05l_38,"Водка -Belvedere 40% (0,5L)"
Ketel One,,bc70bb43-37d6-466f-a366-863e38491424.jpg,https://newelitalco.kz/ru/catalog/ketel-one-vodka-40-07l_18,"Водка Ketel One Vodka 40% (0,7L)"
Yuu Baal Joven (мескаль),,2a713c27-67dc-40a2-b663-be5e4fd82dcd.jpg,https://newelitalco.kz/ru/catalog/yuu-baal-joven-40-07l_65,"Мескаль Yuu Baal Joven 40% (0,7L)"
Patrón Añejo,,42fa2bd3-6e7d-422e-b90f-a26bc6ad69eb.jpg,https://alcomag.kz/catalog/strong-alcohol/tequila/patron-anejo,Patron Anejo
Bombay Sapphire,,8e8fad97-ce02-4117-ae9c-b4ade1b74a61.jpg,https://alcomag.kz/catalog/strong-alcohol/gin/bombay-sapphire,Bombay Sapphire 1L
Roku Japanese Craft Gin,,fcc7a816-ec8b-4b5f-8b82-9b19cb1ba7dd.jpg,https://newelitalco.kz/ru/catalog/roku-japanese-craft-gin-43-07l_76,"Джин Roku Japanese Craft Gin 43% (0,7L)"
